"Borough","Bedroom Category","Median","Count of rents"
"Barking and Dagenham","Four or More Bedrooms","1800","40"
"Barnet","Four or More Bedrooms","2470","230"
"Bexley","Four or More Bedrooms","1800","100"
"Brent","Four or More Bedrooms","2200","160"
"Bromley","Four or More Bedrooms","2200","200"
"Camden","Four or More Bedrooms","3150","80"
"City of London","Four or More Bedrooms","..",".."
"Croydon","Four or More Bedrooms","2000","150"
"Ealing","Four or More Bedrooms","2500","200"
"Enfield","Four or More Bedrooms","2050","70"
"Greenwich","Four or More Bedrooms","2000","100"
"Hackney","Four or More Bedrooms","3050","70"
"Hammersmith and Fulham","Four or More Bedrooms","4050","170"
"Haringey","Four or More Bedrooms","2200","220"
"Harrow","Four or More Bedrooms","2000","140"
"Havering","Four or More Bedrooms","1815","60"
"Hillingdon","Four or More Bedrooms","1763","120"
"Hounslow","Four or More Bedrooms","2000","130"
"Islington","Four or More Bedrooms","3098","120"
"Kensington and Chelsea","Four or More Bedrooms","6489","120"
"Kingston upon Thames","Four or More Bedrooms","2500","80"
"Lambeth","Four or More Bedrooms","3150","150"
"Lewisham","Four or More Bedrooms","2200","80"
"Merton","Four or More Bedrooms","2800","120"
"Newham","Four or More Bedrooms","2000","90"
"Redbridge","Four or More Bedrooms","2000","110"
"Richmond upon Thames","Four or More Bedrooms","3600","260"
"Southwark","Four or More Bedrooms","3200","180"
"Sutton","Four or More Bedrooms","2150","30"
"Tower Hamlets","Four or More Bedrooms","2995","40"
"Waltham Forest","Four or More Bedrooms","2000","90"
"Wandsworth","Four or More Bedrooms","3358","280"
"Westminster","Four or More Bedrooms","4983","40"
