"Borough","Bedroom Category","Median","Count of rents"
"Barking and Dagenham","Room","542","10"
"Barnet","Room","574","20"
"Bexley","Room","808","110"
"Brent","Room","650","40"
"Bromley","Room","..",".."
"Camden","Room","..",".."
"City of London","Room",".","0"
"Croydon","Room","496","20"
"Ealing","Room","642","50"
"Enfield","Room","695","10"
"Greenwich","Room","560","30"
"Hackney","Room","642","10"
"Hammersmith and Fulham","Room","..",".."
"Haringey","Room","657","130"
"Harrow","Room","500","20"
"Havering","Room","624","10"
"Hillingdon","Room","542","140"
"Hounslow","Room","550","70"
"Islington","Room","658","60"
"Kensington and Chelsea","Room","..",".."
"Kingston upon Thames","Room","..",".."
"Lambeth","Room","630","30"
"Lewisham","Room","650","50"
"Merton","Room","..",".."
"Newham","Room","665","30"
"Redbridge","Room","642","60"
"Richmond upon Thames","Room","650","20"
"Southwark","Room","700","10"
"Sutton","Room",".","0"
"Tower Hamlets","Room","592","20"
"Waltham Forest","Room","642","30"
"Wandsworth","Room","463","10"
"Westminster","Room","730","30"
